"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MT-CO1"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded cytochrome c oxidase I "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"MT-CO1"	"neutrophil"	"Human"	1	"CL:0000775"	"mitochondrially encoded cytochrome c oxidase I "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MT-CO2"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded cytochrome c oxidase II "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-CO3"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded cytochrome c oxidase III "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-CO3"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded cytochrome c oxidase III "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"MT-CYB"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded cytochrome b "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-CYB"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded cytochrome b "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"MT-ND1"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-ND2"	"hematopoietic multipotent progenitor cell"	"Human"	1	"CL:0000837"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 "	"HSC MULTIPOTENT PROGENITOR"	NA	NA	NA	NA	NA
"MT-ND3"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
