"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MT-ND4"	1.9146597350008e-184	-0.279281427292886	0.824	0.911	6.26821304044561e-180	"0"	"MT-ND4"
"SUB1"	1.91882702660675e-178	-0.366196560652563	0.133	0.272	6.28185591970519e-174	"0"	"SUB1"
"FLT3LG"	2.41285215969158e-178	0.650195498376534	0.281	0.185	7.89919540039831e-174	"0"	"FLT3LG"
"WDR83OS"	3.1805909616976e-177	-0.355284696854083	0.186	0.347	1.04126186904056e-172	"0"	"WDR83OS"
"DYNLL1"	2.38635335034619e-176	-0.410973606486012	0.134	0.269	7.81244359836336e-172	"0"	"DYNLL1"
"COX5B"	1.5195861221812e-174	-0.353505737471619	0.264	0.445	4.97482104679682e-170	"0"	"COX5B"
"HINT1"	4.82359592344489e-174	-0.373829259723128	0.497	0.66	1.57914883341739e-169	"0"	"HINT1"
"ITM2B"	7.66473507658934e-174	0.417440825650859	0.67	0.65	2.50928096937382e-169	"0"	"ITM2B"
"TMA7"	2.59733328641758e-173	-0.349378391773732	0.471	0.666	8.50314971307387e-169	"0"	"TMA7"
"LAMTOR5"	5.95350836431904e-173	-0.35887641159604	0.124	0.256	1.94905956831077e-168	"0"	"LAMTOR5"
"DDT"	1.36638398933779e-169	-0.364248468377493	0.153	0.297	4.47326790429407e-165	"0"	"DDT"
"ID2"	2.54312081804558e-169	-0.569831455239753	0.14	0.266	8.32566893411763e-165	"0"	"ID2"
"NDUFC2"	2.04136017244515e-168	-0.349716446707731	0.121	0.251	6.68300493255094e-164	"0"	"NDUFC2"
"UQCR10"	4.17966611427277e-168	-0.338424576977905	0.183	0.337	1.36833909249062e-163	"0"	"UQCR10"
"KRTCAP2"	3.97594851570502e-166	-0.368836353901614	0.142	0.277	1.30164602507151e-161	"0"	"KRTCAP2"
"VAMP8"	3.24205669871418e-165	-0.406641438766383	0.275	0.446	1.06138452202505e-160	"0"	"VAMP8"
"CALM3"	9.27714700734343e-164	0.63654505067825	0.371	0.292	3.03715238726409e-159	"0"	"CALM3"
"GIMAP4"	3.19730375429897e-162	0.671221858423751	0.271	0.182	1.0467333030824e-157	"0"	"GIMAP4"
"TRA2B"	3.49758158025239e-162	-0.349649588546521	0.14	0.274	1.14503825774303e-157	"0"	"TRA2B"
"NDUFA13"	3.17193184220237e-157	-0.329674828707913	0.23	0.395	1.03842704650021e-152	"0"	"NDUFA13"
"CD99"	6.69793986775415e-156	-0.416347931059131	0.302	0.463	2.19277155390535e-151	"0"	"CD99"
"CRIP1"	2.3313417502963e-155	-0.543042190061394	0.195	0.326	7.63234662212004e-151	"0"	"CRIP1"
"ATP5J"	5.65349582792654e-155	-0.315790771193997	0.181	0.329	1.85084146414659e-150	"0"	"ATP5J"
"COMMD6"	1.93585514089047e-152	-0.309570810910872	0.486	0.663	6.33760256024721e-148	"0"	"COMMD6"
"NDUFB4"	1.04001458620207e-151	-0.286633445328947	0.145	0.279	3.40479975230834e-147	"0"	"NDUFB4"
"PSMB9"	7.12445753678781e-147	-0.37035395593741	0.19	0.329	2.33240490839359e-142	"0"	"PSMB9"
"C9orf142"	5.12106740183327e-146	-0.380150132165179	0.145	0.269	1.67653504601218e-141	"0"	"C9orf142"
"EMP3"	2.36228685625798e-144	-0.382881036110402	0.422	0.594	7.73365471001739e-140	"0"	"EMP3"
"BST2"	1.90296156606827e-143	-0.317211801959665	0.165	0.299	6.2299155749943e-139	"0"	"BST2"
"ATPIF1"	1.13901703330105e-133	-0.269028353524575	0.224	0.377	3.72891396362099e-129	"0"	"ATPIF1"
"NDUFA4"	1.22523065335927e-133	-0.30066203663644	0.341	0.51	4.01116011296759e-129	"0"	"NDUFA4"
"ATP5G3"	5.13920603207359e-133	-0.277124786751399	0.164	0.294	1.68247327078025e-128	"0"	"ATP5G3"
"MT-ND1"	8.72640384063686e-133	-0.263216304203765	0.765	0.878	2.85685008934769e-128	"0"	"MT-ND1"
"UBB"	9.48620698824509e-132	-0.280961970531213	0.652	0.792	3.10559444381168e-127	"0"	"UBB"
"C9orf16"	5.64267615406972e-131	-0.256393462897526	0.257	0.417	1.84729931931935e-126	"0"	"C9orf16"
"SON"	5.41152100684336e-129	-0.289415562281976	0.181	0.314	1.77162374722038e-124	"0"	"SON"
"NEDD8"	2.67687049869437e-128	-0.280208108966104	0.28	0.444	8.76353863862563e-124	"0"	"NEDD8"
"LINC00493"	1.12534167645408e-127	-0.265329517267289	0.134	0.251	3.68414358037536e-123	"0"	"LINC00493"
"ST13"	4.08948705609956e-124	0.570996727594772	0.425	0.381	1.33881627242587e-119	"0"	"ST13"
"TOMM7"	2.01000811686909e-121	-0.271619774835305	0.564	0.728	6.58036457300604e-117	"0"	"TOMM7"
"HNRNPA2B1"	8.71304056026833e-116	0.41503461303467	0.561	0.548	2.85247521862065e-111	"0"	"HNRNPA2B1"
"IER2"	3.73019550050919e-113	0.413844792742402	0.652	0.626	1.2211914029567e-108	"0"	"IER2"
"PSMB3"	1.70928865639674e-112	-0.263174061521989	0.191	0.32	5.59586920331166e-108	"0"	"PSMB3"
"TMEM123"	5.53736517263461e-112	0.642618801862702	0.265	0.2	1.81282261021712e-107	"0"	"TMEM123"
"NDFIP1"	6.83000127902763e-108	0.610826720694836	0.289	0.226	2.23600581872806e-103	"0"	"NDFIP1"
"CMPK1"	8.44412334988257e-107	0.621793805736823	0.293	0.231	2.76443710228456e-102	"0"	"CMPK1"
"CCNI"	1.78137571014059e-102	0.48464355308133	0.47	0.442	5.83186779985825e-98	"0"	"CCNI"
"EIF4A2"	1.53204769426227e-99	0.419790766057071	0.533	0.525	5.01561774147583e-95	"0"	"EIF4A2"
"TALDO1"	4.72774740855212e-99	-0.302721414486271	0.149	0.25	1.54776994661179e-94	"0"	"TALDO1"
"CCDC109B"	8.96575875551014e-99	0.59044852389222	0.255	0.191	2.93521010137891e-94	"0"	"CCDC109B"
"ZFP36L2"	2.62379582861411e-97	0.460227457964796	0.451	0.412	8.58978278371686e-93	"0"	"ZFP36L2"
"EIF3H"	3.03161885651717e-96	0.41645423198811	0.536	0.528	9.92491381246592e-92	"0"	"EIF3H"
"PSME2"	1.49829388057433e-92	-0.256564661745556	0.286	0.424	4.90511450622424e-88	"0"	"PSME2"
