"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ENY2.1"	4.09452228994665e-80	0.457931803504369	0.39	0.164	1.34046470728273e-75	"9"	"ENY2"
"HNRNPC.3"	4.33586198888819e-80	0.514487949724507	0.591	0.29	1.41947449792222e-75	"9"	"HNRNPC"
"CLNS1A.1"	6.70556742870675e-80	0.504376392406995	0.388	0.163	2.19526866481002e-75	"9"	"CLNS1A"
"UFC1.2"	6.84789734963219e-80	0.537920112447658	0.615	0.31	2.24186463432259e-75	"9"	"UFC1"
"USMG5.2"	1.51639326234736e-79	0.493317181746832	0.431	0.188	4.96436826227279e-75	"9"	"USMG5"
"AMICA1.1"	2.29952826230465e-78	0.360206641356182	0.265	0.092	7.52819562513298e-74	"9"	"AMICA1"
"RPS8.5"	2.30517241282606e-78	-0.332749592294443	0.998	0.993	7.54667344510996e-74	"9"	"RPS8"
"NENF.1"	3.42614619290381e-78	0.445221100469643	0.404	0.172	1.12165174063285e-73	"9"	"NENF"
"SLTM.1"	4.50832009964797e-78	0.496716087032493	0.293	0.111	1.47593383422275e-73	"9"	"SLTM"
"PPIG"	4.76058076580634e-78	0.483605966744205	0.36	0.147	1.55851893110968e-73	"9"	"PPIG"
"RALBP1.1"	5.89470859473491e-78	0.458666340369745	0.255	0.091	1.92980969974431e-73	"9"	"RALBP1"
"SKP1.4"	8.91054247131157e-78	0.501350017951841	0.729	0.388	2.91713339425798e-73	"9"	"SKP1"
"RPLP2.5"	9.80583924173255e-78	-0.290379405424475	1	0.998	3.2102356509584e-73	"9"	"RPLP2"
"MYEOV2.3"	2.52652376976078e-77	0.484713774552899	0.527	0.25	8.27133351744283e-73	"9"	"MYEOV2"
"GNG5.2"	3.58363196990084e-77	0.435721579582047	0.455	0.202	1.17320943430614e-72	"9"	"GNG5"
"HMGN1.3"	5.16595101707248e-77	0.517495648919196	0.771	0.432	1.69122904396919e-72	"9"	"HMGN1"
"SNRPB2.1"	5.42348267785052e-77	0.505247664940873	0.343	0.14	1.7755397590747e-72	"9"	"SNRPB2"
"RPL23A.5"	6.88253330019951e-77	-0.293928565783592	0.999	0.993	2.25320375181932e-72	"9"	"RPL23A"
"ZNHIT1.1"	3.24010102976297e-76	0.448971679705533	0.456	0.205	1.0607442751238e-71	"9"	"ZNHIT1"
"NONO.1"	3.42459905423582e-76	0.445243910668512	0.295	0.112	1.12114523837572e-71	"9"	"NONO"
"TIMM8B.1"	8.42047646315377e-76	0.464587993672016	0.259	0.095	2.75669558450728e-71	"9"	"TIMM8B"
"FGFR1OP2"	4.05195657485646e-75	0.456320245416699	0.277	0.103	1.32652954347651e-70	"9"	"FGFR1OP2"
"ALKBH7.4"	4.31698885114951e-75	0.444873339582388	0.543	0.26	1.41329581008933e-70	"9"	"ALKBH7"
"COX5A.4"	4.65365164065193e-75	0.488121933555333	0.579	0.284	1.52351247411663e-70	"9"	"COX5A"
"METAP2.1"	6.02371536582754e-75	0.478556215480148	0.283	0.108	1.97204393646462e-70	"9"	"METAP2"
"JUN.6"	6.06701034219155e-75	-1.22533470323021	0.463	0.605	1.98621784582667e-70	"9"	"JUN"
"RAC1.3"	6.93777204653476e-75	0.411064725153602	0.581	0.282	2.27128781259455e-70	"9"	"RAC1"
"NASP.1"	7.39336745606069e-75	0.476671982463655	0.264	0.098	2.42044063776515e-70	"9"	"NASP"
"ICAM3.4"	1.06425507015009e-74	0.487749704338101	0.711	0.386	3.48415824865735e-70	"9"	"ICAM3"
"CCDC23"	1.23218007082221e-74	0.444418174188636	0.255	0.092	4.03391111585776e-70	"9"	"CCDC23"
"RPSAP58.3"	2.91851952910865e-74	-1.32386437306304	0.208	0.421	9.5546492343959e-70	"9"	"RPSAP58"
"RPL22.7"	8.71156688807467e-74	-0.707357452805986	0.812	0.792	2.85199276781789e-69	"9"	"RPL22"
"AKR1A1.1"	4.09776231539655e-73	0.453189705046257	0.291	0.113	1.34152542681452e-68	"9"	"AKR1A1"
"RTF1.1"	4.14258266343522e-73	0.426505780639129	0.333	0.136	1.35619871235542e-68	"9"	"RTF1"
"EIF3M.3"	9.02649240853169e-73	0.447623006147633	0.585	0.291	2.9550930847051e-68	"9"	"EIF3M"
"FIS1"	2.03707652036457e-72	0.466445653462207	0.568	0.281	6.66898111236954e-68	"9"	"FIS1"
"EIF3D.5"	1.39236369381338e-71	0.478675734676502	0.655	0.344	4.55832026080624e-67	"9"	"EIF3D"
"ATPIF1.4"	2.19081978597736e-71	0.458639629517678	0.655	0.341	7.17230581533269e-67	"9"	"ATPIF1"
"MRFAP1.1"	2.29224432723177e-71	0.423037927078765	0.365	0.155	7.50434947849138e-67	"9"	"MRFAP1"
"TPR.1"	3.6279309012044e-71	0.415467210114295	0.331	0.136	1.1877120184363e-66	"9"	"TPR"
"RTFDC1"	4.6813011310743e-71	0.414036009683771	0.34	0.14	1.53256436429111e-66	"9"	"RTFDC1"
"ATP5A1.5"	1.539559129018e-70	0.496665117151059	0.662	0.351	5.04020867657914e-66	"9"	"ATP5A1"
"PMF1"	1.71455188614282e-70	0.412640936805052	0.29	0.113	5.61309996485437e-66	"9"	"PMF1"
"ZNF428.1"	2.13400153589414e-70	0.443632347483361	0.387	0.169	6.98629422821022e-66	"9"	"ZNF428"
"YIPF3"	2.24747385576521e-70	0.389824277614284	0.251	0.092	7.35777990900415e-66	"9"	"YIPF3"
"RHOA.3"	3.46611627167891e-70	0.473555267049834	0.616	0.315	1.13473714502224e-65	"9"	"RHOA"
"COX6B1.6"	3.57402155295829e-70	0.483596688759544	0.825	0.485	1.17006317600748e-65	"9"	"COX6B1"
"TCEAL8.1"	4.68466025460365e-70	0.405992958226405	0.25	0.092	1.53366407415214e-65	"9"	"TCEAL8"
"RWDD1.2"	7.53636507672463e-70	0.475314449069077	0.512	0.252	2.46725519881811e-65	"9"	"RWDD1"
"TPT1.3"	1.59991159009087e-69	0.259700272703411	0.999	0.978	5.23779056363948e-65	"9"	"TPT1"
"CD53.7"	1.70404244932886e-69	0.454815676214706	0.701	0.379	5.57869417061283e-65	"9"	"CD53"
"NCL.2"	8.07484235752547e-69	0.421831991803178	0.377	0.164	2.64354189100669e-64	"9"	"NCL"
"UBL5.6"	1.07423054696505e-68	0.451938154161221	0.705	0.384	3.51681596465418e-64	"9"	"UBL5"
"TCP1.1"	1.15916368803885e-68	0.453348793274777	0.281	0.11	3.79487008190157e-64	"9"	"TCP1"
"NDUFB1.2"	1.46305732275393e-68	0.438248169486855	0.374	0.164	4.78975706323182e-64	"9"	"NDUFB1"
"THRAP3.1"	1.6590866036739e-68	0.416419281583565	0.314	0.129	5.43151772310761e-64	"9"	"THRAP3"
"POLR1D.1"	1.96448731937489e-68	0.441521051821659	0.475	0.225	6.43133858616953e-64	"9"	"POLR1D"
"TXNL1.1"	4.3063238379167e-68	0.416221290685796	0.276	0.108	1.40980429805717e-63	"9"	"TXNL1"
"CSNK2B.1"	5.41420938957313e-68	0.446293185424758	0.534	0.267	1.77250386995845e-63	"9"	"CSNK2B"
"MRPS21.1"	8.77194634185535e-68	0.460034743808926	0.539	0.268	2.8717597933966e-63	"9"	"MRPS21"
"SMARCB1.1"	1.82155146151159e-67	0.424170063208771	0.295	0.118	5.96339517469664e-63	"9"	"SMARCB1"
"C1orf63"	2.00894428980279e-67	0.446293345185888	0.316	0.129	6.57688181595639e-63	"9"	"C1orf63"
"ETHE1"	2.39833373559839e-67	0.402826300512198	0.327	0.136	7.851664983602e-63	"9"	"ETHE1"
"TMED3.1"	2.72293387959305e-67	0.437761050643577	0.26	0.1	8.91434093501172e-63	"9"	"TMED3"
"UBXN4.1"	5.84224882144566e-67	0.405237895490125	0.266	0.103	1.91263541916488e-62	"9"	"UBXN4"
"RNF7"	7.93019821564915e-67	0.404142968038547	0.37	0.162	2.59618829183922e-62	"9"	"RNF7"
"CCNL1.3"	8.28003485433556e-67	0.433202923576996	0.427	0.197	2.71071781061238e-62	"9"	"CCNL1"
"MTDH.2"	1.3633890785553e-65	0.374539920122111	0.474	0.225	4.46346316537435e-61	"9"	"MTDH"
"SRP14.1"	1.41605316472503e-65	0.423960392782786	0.921	0.634	4.63587485067681e-61	"9"	"SRP14"
"RPS10.4"	1.64964591927139e-65	-0.493070526124958	0.94	0.9	5.40061081051067e-61	"9"	"RPS10"
"RSBN1L"	4.52615101581673e-65	0.380977316925667	0.35	0.15	1.48177131955808e-60	"9"	"RSBN1L"
"PCBP2.4"	6.74453559279422e-65	0.449732641455423	0.749	0.427	2.20802606236897e-60	"9"	"PCBP2"
"FKBP2"	1.48334342154109e-64	0.383381050563804	0.307	0.127	4.85616969344121e-60	"9"	"FKBP2"
"MRP63.1"	1.82143745378903e-64	0.428608920215873	0.427	0.201	5.96302193621451e-60	"9"	"MRP63"
"SCP2.1"	3.37250768681541e-64	0.385375103069244	0.391	0.176	1.10409156650963e-59	"9"	"SCP2"
"DUSP1.8"	5.24671932773928e-64	0.380991847171697	0.851	0.549	1.71767097351529e-59	"9"	"DUSP1"
"IER2.8"	1.60046224141552e-63	-1.22136734001113	0.564	0.632	5.23959328594612e-59	"9"	"IER2"
"NDUFA1.6"	1.66138419858706e-63	0.400833472750995	0.617	0.317	5.43903958933431e-59	"9"	"NDUFA1"
"BRK1.2"	1.9668249673928e-63	0.441047741412427	0.612	0.326	6.43899157825054e-59	"9"	"BRK1"
"UCP2.7"	3.04393100257341e-63	-1.38447653618327	0.182	0.376	9.96522131622485e-59	"9"	"UCP2"
"RNASET2.7"	3.48362704921113e-63	0.406664273062109	0.645	0.345	1.14046982337074e-58	"9"	"RNASET2"
"DUT.1"	6.38712507657167e-63	0.402085689060037	0.431	0.203	2.09101700756803e-58	"9"	"DUT"
"RTN4.1"	1.11349595807163e-62	0.39595649165647	0.331	0.143	3.64536306753492e-58	"9"	"RTN4"
"GSTO1.2"	1.82881362148045e-62	0.370277056565716	0.37	0.166	5.98717003400268e-58	"9"	"GSTO1"
"LSM3.1"	1.83360557814716e-62	0.43140794106114	0.281	0.116	6.00285794173817e-58	"9"	"LSM3"
"COX7A2.5"	6.43244470486141e-62	0.456078727691114	0.65	0.352	2.10585374747753e-57	"9"	"COX7A2"
"KMT2E.1"	9.69059219986051e-62	0.377849128492175	0.387	0.175	3.17250607439033e-57	"9"	"KMT2E"
"CCT4.1"	3.6292970622144e-61	0.402665086267295	0.449	0.215	1.18815927222775e-56	"9"	"CCT4"
"PLP2.5"	1.03450432440685e-60	0.368995981030451	0.521	0.26	3.38676025724316e-56	"9"	"PLP2"
"MPC2.1"	1.22236271608666e-60	0.404891689667458	0.29	0.122	4.00177105992452e-56	"9"	"MPC2"
"QARS.1"	1.38299675516041e-60	0.39692827914405	0.26	0.105	4.52765477704415e-56	"9"	"QARS"
"TERF2IP"	2.06543968214912e-60	0.362072460595438	0.383	0.175	6.7618364314198e-56	"9"	"TERF2IP"
"HP1BP3.1"	2.82582752491603e-60	0.417187708169488	0.277	0.114	9.25119415107011e-56	"9"	"HP1BP3"
"PIN4.1"	2.83710422706103e-60	0.360753853368722	0.253	0.1	9.28811181855241e-56	"9"	"PIN4"
"AES.5"	2.84461254948567e-60	-1.11385899240579	0.439	0.543	9.31269256450617e-56	"9"	"AES"
"MRPL51.1"	2.89509166065528e-60	0.409336805093758	0.389	0.182	9.47795107865326e-56	"9"	"MRPL51"
"BEX4.1"	1.51418289872957e-58	0.375529707663682	0.265	0.108	4.95713197386087e-54	"9"	"BEX4"
"YWHAQ.3"	1.97632169223418e-58	0.391995192136316	0.417	0.199	6.47008195603625e-54	"9"	"YWHAQ"
"RBX1.2"	4.18974805072037e-58	0.393899726413342	0.377	0.176	1.37163971684483e-53	"9"	"RBX1"
"CHCHD5.1"	6.35986001902403e-58	0.396578670213587	0.274	0.115	2.08209097302809e-53	"9"	"CHCHD5"
"EPC1.1"	1.18957949275398e-57	0.369152077680201	0.385	0.179	3.89444534337797e-53	"9"	"EPC1"
"ATP5J2.6"	2.20057589994723e-57	0.397837886917592	0.541	0.279	7.20424538124724e-53	"9"	"ATP5J2"
"C9orf16.3"	2.68339276616188e-57	0.4182363745763	0.675	0.379	8.78489123786076e-53	"9"	"C9orf16"
"H1FX.4"	2.90819836648929e-57	0.370501475644089	0.483	0.243	9.52085981221263e-53	"9"	"H1FX"
"PPDPF.4"	6.48795494204617e-57	-0.855887525368279	0.569	0.628	2.12402668892708e-52	"9"	"PPDPF"
"SLC25A6.3"	7.69752987030007e-57	-0.607635216613883	0.845	0.798	2.52001732893884e-52	"9"	"SLC25A6"
"PARP1.1"	8.43851217632073e-57	0.369470392383904	0.288	0.124	2.76260011628388e-52	"9"	"PARP1"
"PMPCB.1"	9.52194603433839e-57	0.366417448811393	0.284	0.121	3.1172946927217e-52	"9"	"PMPCB"
"UBE2L6.1"	1.00156873957685e-56	0.368948048340324	0.423	0.204	3.27893573962671e-52	"9"	"UBE2L6"
"SEPT6.1"	2.35104666634731e-56	0.35048158313872	0.388	0.182	7.69685657628781e-52	"9"	"SEPT6"
"PPP1R12A"	4.91870030174298e-56	0.365158591342988	0.254	0.103	1.61028410478462e-51	"9"	"PPP1R12A"
"RBM17"	5.38073367847049e-56	0.355245285006396	0.262	0.108	1.76154459165767e-51	"9"	"RBM17"
"PEBP1.4"	8.38635097767797e-56	0.396885724234973	0.644	0.355	2.74552358307221e-51	"9"	"PEBP1"
"ATP5O.3"	2.9452491522796e-55	0.4028747918646	0.761	0.449	9.64215667473294e-51	"9"	"ATP5O"
"HNRNPU"	3.05521195495463e-55	0.328968028716456	0.401	0.19	1.00021528981305e-50	"9"	"HNRNPU"
"AKR7A2"	3.47086164172426e-55	0.354446136521099	0.267	0.112	1.13629068426769e-50	"9"	"AKR7A2"
"OCIAD2.5"	3.75929640749919e-55	0.351219356234364	0.502	0.254	1.23071845788709e-50	"9"	"OCIAD2"
"COX5B.4"	4.63073133312223e-55	0.404036265807662	0.707	0.403	1.51600882383756e-50	"9"	"COX5B"
"ATP6V0B.1"	8.21717436569184e-55	0.305492976360261	0.44	0.216	2.69013854384019e-50	"9"	"ATP6V0B"
"NDUFS6.2"	1.34447139932367e-54	0.334033098086771	0.398	0.19	4.40153046710583e-50	"9"	"NDUFS6"
"OCIAD1"	1.78914590568479e-54	0.346837601600055	0.385	0.182	5.85730586603086e-50	"9"	"OCIAD1"
"TCEA1"	2.46796300738809e-54	0.340939684559454	0.36	0.166	8.07961729358713e-50	"9"	"TCEA1"
"ID2.5"	5.21304010527165e-54	0.3807724686775	0.469	0.236	1.70664506966383e-49	"9"	"ID2"
"RPL37A.6"	5.66144902029442e-54	0.267330854495801	0.997	0.932	1.85344518026399e-49	"9"	"RPL37A"
"VIM.7"	5.93208083539583e-54	-0.790582305614707	0.494	0.609	1.94204462389189e-49	"9"	"VIM"
"HMGB2.1"	1.20841839482567e-53	0.355137129411916	0.391	0.189	3.95612014098029e-49	"9"	"HMGB2"
"DRAP1.4"	1.49758304046096e-53	0.405007315963859	0.652	0.367	4.90278735786109e-49	"9"	"DRAP1"
"LAMTOR5.3"	1.62912399957743e-53	0.359554100336217	0.45	0.226	5.3334261498166e-49	"9"	"LAMTOR5"
"CCT2.1"	4.43280102419455e-53	0.383434352966081	0.314	0.143	1.45121039930081e-48	"9"	"CCT2"
"EIF2A.1"	5.61281278635812e-53	0.357515047242563	0.269	0.115	1.83752264999792e-48	"9"	"EIF2A"
"ZC3H15.1"	7.22262999707977e-53	0.376012501377369	0.317	0.145	2.36454460844398e-48	"9"	"ZC3H15"
"DRAM2"	1.05574353874791e-52	0.326109121108244	0.25	0.103	3.45629319715289e-48	"9"	"DRAM2"
"NOP10.2"	1.59155303402667e-52	0.373685060941835	0.408	0.202	5.21042632279651e-48	"9"	"NOP10"
"PQBP1"	3.54758765700865e-52	0.315855063269468	0.342	0.158	1.16140924715149e-47	"9"	"PQBP1"
"COX16.1"	1.16996433163582e-51	0.372231191500675	0.32	0.148	3.83022922890935e-47	"9"	"COX16"
"SAT2.1"	1.22226611928839e-51	0.2719388620231	0.315	0.141	4.00145482132633e-47	"9"	"SAT2"
"DDT.3"	1.40374443390621e-51	0.333669546719708	0.507	0.263	4.59557852772214e-47	"9"	"DDT"
"PRRC2C"	2.715619050997e-51	0.296229067288958	0.315	0.142	8.89039364915399e-47	"9"	"PRRC2C"
"ETFB"	4.55779697718674e-51	0.320725391954263	0.39	0.19	1.49213157439139e-46	"9"	"ETFB"
"DNAJC19.1"	1.16741094369456e-50	0.339256897046624	0.307	0.139	3.82186994746725e-46	"9"	"DNAJC19"
"ARL5A"	1.84514992186761e-50	0.35807418332841	0.265	0.115	6.04065181421018e-46	"9"	"ARL5A"
"MATR3.1"	1.86568723731041e-50	0.344543145727499	0.291	0.13	6.10788687750682e-46	"9"	"MATR3"
"ATP5B.4"	6.18625981541788e-50	0.345415059616226	0.52	0.274	2.0252577383715e-45	"9"	"ATP5B"
"CASP4.1"	6.64837022216516e-50	0.376173646831204	0.372	0.182	2.17654344333243e-45	"9"	"CASP4"
"DEK.2"	7.82000511054684e-50	0.332318516329641	0.371	0.179	2.56011327309082e-45	"9"	"DEK"
"TMEM14B"	1.0861017862209e-49	0.333351449547081	0.374	0.182	3.55568002772999e-45	"9"	"TMEM14B"
"OST4.4"	2.02250889191037e-49	0.38600142937902	0.821	0.519	6.62128961033618e-45	"9"	"OST4"
"LCP1.2"	2.59230433151052e-49	0.344918056399601	0.359	0.171	8.48668592049915e-45	"9"	"LCP1"
"SF3B2.1"	3.12922632229199e-49	0.327318013901338	0.398	0.197	1.02444611339195e-44	"9"	"SF3B2"
"RBM25"	6.16688554084543e-49	0.326304058283929	0.265	0.116	2.01891498836198e-44	"9"	"RBM25"
"TMEM261"	7.01886355822277e-49	0.326069388070961	0.337	0.16	2.29783555169097e-44	"9"	"TMEM261"
"DSTN.1"	5.83111863585141e-48	0.305013552353857	0.322	0.15	1.90899161900503e-43	"9"	"DSTN"
"CFDP1"	9.05832131228127e-48	0.332963698459665	0.25	0.108	2.96551323121464e-43	"9"	"CFDP1"
"UQCRFS1.1"	9.76424363486712e-48	0.315075209084706	0.423	0.214	3.1966180811828e-43	"9"	"UQCRFS1"
"DNAJC15.1"	2.08828822054514e-47	0.32304509655732	0.267	0.119	6.83663797642067e-43	"9"	"DNAJC15"
"PPP1R15A.6"	2.52703032952019e-47	0.313590121487605	0.512	0.279	8.27299189278318e-43	"9"	"PPP1R15A"
"CCT6A.1"	3.55070906970517e-47	0.340747845652545	0.299	0.139	1.16243113524008e-42	"9"	"CCT6A"
"LIMD2.7"	6.45863748469935e-47	-0.787498960788227	0.625	0.655	2.11442873974087e-42	"9"	"LIMD2"
"PPP2R1A"	1.03173486356424e-46	0.283826076185615	0.311	0.144	3.3776935963366e-42	"9"	"PPP2R1A"
"STOML2.1"	1.19192621553345e-46	0.313945386503169	0.279	0.127	3.9021280444134e-42	"9"	"STOML2"
"CLTA.1"	1.27362773295546e-46	0.371578351098199	0.342	0.168	4.16960247214959e-42	"9"	"CLTA"
"TMEM59.5"	1.33091906788999e-46	0.323465845181209	0.545	0.296	4.35716284445824e-42	"9"	"TMEM59"
"NCOR1"	1.78286719477275e-46	0.299390855000187	0.334	0.159	5.83675062224703e-42	"9"	"NCOR1"
"PNRC1.3"	2.31122311961797e-46	0.350682698653796	0.769	0.48	7.5664822490053e-42	"9"	"PNRC1"
"UQCR10.3"	3.56872138415465e-46	0.319896572596167	0.553	0.301	1.16832800674455e-41	"9"	"UQCR10"
"TMEM147"	4.20618345348363e-46	0.29863471998809	0.347	0.168	1.37702033900147e-41	"9"	"TMEM147"
"SUPT4H1.1"	5.6942880690463e-46	0.300175146920336	0.356	0.175	1.86419602804438e-41	"9"	"SUPT4H1"
"UBE2B"	8.73302539926648e-46	0.277209652078745	0.28	0.126	2.85901785521186e-41	"9"	"UBE2B"
"SRSF3.5"	8.88378110899029e-46	0.346388123421284	0.597	0.333	2.90837225946124e-41	"9"	"SRSF3"
"CALR.2"	1.0704638401599e-45	0.331401150757308	0.361	0.179	3.50448451991549e-41	"9"	"CALR"
"SON.3"	1.38129984066955e-45	0.303887711519235	0.523	0.282	4.52209941838396e-41	"9"	"SON"
"BEX2.1"	1.46435815115697e-45	0.358243664693538	0.295	0.138	4.79401571525769e-41	"9"	"BEX2"
"EIF3I"	2.10080777269263e-45	0.330929174749313	0.429	0.222	6.87762448624113e-41	"9"	"EIF3I"
"PSMB1.2"	2.43734676899106e-45	0.318487843682428	0.594	0.329	7.97938585232292e-41	"9"	"PSMB1"
"CORO1A.5"	3.29313751413849e-45	-0.677800349970794	0.792	0.739	1.07810735937866e-40	"9"	"CORO1A"
"PTRHD1.1"	3.78124876677062e-45	0.337817853072363	0.279	0.129	1.23790522126537e-40	"9"	"PTRHD1"
"TMBIM4.1"	5.67923227788512e-45	0.311955274947691	0.334	0.162	1.85926706313403e-40	"9"	"TMBIM4.1"
"POLR2I.1"	6.38943478684268e-45	0.300431637977586	0.321	0.154	2.09177316051656e-40	"9"	"POLR2I"
"FTL.6"	9.10822322772047e-45	-0.53999332373384	0.996	0.973	2.98185012029113e-40	"9"	"FTL"
"ARPC1B.6"	1.00944252504617e-44	-0.939831460927192	0.479	0.544	3.30471293849614e-40	"9"	"ARPC1B"
"TMEM219.3"	1.93843357503032e-44	0.29134266678395	0.463	0.244	6.34604383793426e-40	"9"	"TMEM219"
"GAPDH.5"	4.00174998098721e-44	0.304110881830503	0.952	0.732	1.31009290877559e-39	"9"	"GAPDH"
"CCNG1.1"	4.14745658996931e-44	0.322608746134378	0.273	0.126	1.35779433842415e-39	"9"	"CCNG1"
"MAP1LC3B.2"	5.12887230231805e-44	0.283568901593407	0.349	0.171	1.67909021433288e-39	"9"	"MAP1LC3B"
"POLR2G.1"	8.42538857751703e-44	0.269119446615798	0.436	0.226	2.75830371250752e-39	"9"	"POLR2G"
"RBMX.1"	8.59088484844383e-44	0.277079918690365	0.429	0.221	2.81248388168354e-39	"9"	"RBMX"
"GTF2A2.1"	2.20702808940378e-43	0.310185382929412	0.29	0.137	7.2253685590901e-39	"9"	"GTF2A2"
"CWC15.1"	4.32001694347817e-43	0.309415754907866	0.286	0.135	1.41428714695588e-38	"9"	"CWC15"
"NUCKS1.2"	5.29420383109806e-43	0.275356654783453	0.343	0.17	1.73321645022488e-38	"9"	"NUCKS1"
"EMP3.9"	5.33836333902019e-43	-0.892117661356359	0.502	0.56	1.74767338992843e-38	"9"	"EMP3"
"CD47"	1.30757828350971e-42	0.272859509375305	0.273	0.125	4.2807497845541e-38	"9"	"CD47"
"IMPDH2.1"	1.33555580756114e-42	0.305398163680511	0.371	0.187	4.37234260279365e-38	"9"	"IMPDH2"
"TAF9.1"	1.36975945295117e-42	0.269283645639354	0.294	0.139	4.48431849707153e-38	"9"	"TAF9"
"C11orf73"	2.36655393597271e-42	0.289715881602604	0.279	0.131	7.74762427558746e-38	"9"	"C11orf73"
"LAGE3.1"	2.38447765643061e-42	0.26430500848533	0.293	0.139	7.80630295162254e-38	"9"	"LAGE3"
"TRMT112"	3.92339043530822e-42	0.300407552044909	0.593	0.331	1.28443956071121e-37	"9"	"TRMT112"
"NT5C"	4.46119234321423e-42	0.278371537537993	0.295	0.141	1.46050514932147e-37	"9"	"NT5C"
"PYURF"	5.02222461346578e-42	0.306760871130963	0.391	0.202	1.64417589395643e-37	"9"	"PYURF"
"IL2RG.7"	6.88424969294138e-42	-1.06182001178448	0.264	0.396	2.25376566447515e-37	"9"	"IL2RG"
"SSB.1"	1.1634441453072e-41	0.27924918498197	0.379	0.195	3.80888344290671e-37	"9"	"SSB"
"RPS27L.2"	1.37058868997345e-41	0.296152484326277	0.355	0.18	4.48703325323509e-37	"9"	"RPS27L"
"VAMP5"	1.70886999501825e-41	0.255206097120211	0.357	0.178	5.59449858969075e-37	"9"	"VAMP5"
"DCTN3.1"	1.82532469819449e-41	0.262298700649698	0.394	0.202	5.97574799694913e-37	"9"	"DCTN3"
"C11orf58.1"	1.89571708655566e-41	0.286025185600086	0.509	0.278	6.20619859796591e-37	"9"	"C11orf58"
"FIBP"	2.22224600269832e-41	0.282277365345926	0.277	0.131	7.27518896363377e-37	"9"	"FIBP"
"TAX1BP1"	2.22862291044506e-41	0.281804120889767	0.259	0.119	7.29606568421505e-37	"9"	"TAX1BP1"
"NDUFS3.1"	2.37928820449116e-41	0.289194813440223	0.269	0.127	7.78931372386316e-37	"9"	"NDUFS3"
"H2AFJ"	3.34006260451601e-41	0.270064713479514	0.269	0.125	1.09346969546645e-36	"9"	"H2AFJ"
"ATP6V1G1.4"	3.96643663217222e-41	0.321034502937567	0.75	0.468	1.29853202464054e-36	"9"	"ATP6V1G1"
"VDAC2.1"	4.16852264189422e-41	0.312870614402121	0.41	0.218	1.36469094250333e-36	"9"	"VDAC2"
"ZNHIT3"	5.85969868876242e-41	0.260941441548788	0.255	0.117	1.91834815672704e-36	"9"	"ZNHIT3"
"RPL23.5"	7.61504349059996e-41	0.306775114934073	0.955	0.769	2.49301293795262e-36	"9"	"RPL23"
"WDR83OS.4"	2.12128247918881e-40	0.263789051860985	0.56	0.31	6.94465458036831e-36	"9"	"WDR83OS"
"MAGOH"	2.2531835955924e-40	0.293077507483045	0.284	0.137	7.3764724552504e-36	"9"	"MAGOH"
"ST13.7"	3.27367072068064e-40	0.287086404341701	0.657	0.385	1.07173432053643e-35	"9"	"ST13"
"TPGS1"	8.53924216618776e-40	0.270899166406551	0.258	0.12	2.79557710036655e-35	"9"	"TPGS1"
"COX7A2L.3"	1.43063172680606e-39	0.278509791543372	0.568	0.32	4.68360214721769e-35	"9"	"COX7A2L"
"COX6C.6"	1.49137471889181e-39	0.300424554988675	0.685	0.404	4.88246255470801e-35	"9"	"COX6C"
"CHCHD2.2"	4.18899224058272e-39	0.323358681645633	0.883	0.598	1.37139227972197e-34	"9"	"CHCHD2"
"SRSF11.1"	7.25219638033821e-39	0.263748772071563	0.347	0.178	2.37422405099512e-34	"9"	"SRSF11"
"SSBP1.1"	8.52875176027158e-39	0.279933734148448	0.423	0.227	2.79214275127771e-34	"9"	"SSBP1"
"PTPRCAP.7"	1.01916936389022e-38	-0.691690703060716	0.74	0.705	3.3365566635038e-34	"9"	"PTPRCAP"
"SEPT7.5"	1.3261176913155e-38	0.2695233375291	0.555	0.317	4.34144409782868e-34	"9"	"SEPT7"
"SRSF2.1"	2.84142962748165e-38	0.261494824263452	0.443	0.24	9.30227231444944e-34	"9"	"SRSF2"
"STRAP"	1.08396962282313e-37	0.255431246057098	0.269	0.129	3.54869975119835e-33	"9"	"STRAP"
"NAA38"	1.15291383640175e-37	0.271150975059605	0.258	0.123	3.77440931761203e-33	"9"	"NAA38"
"CAMLG.1"	1.56977983896644e-37	0.252123382202173	0.336	0.172	5.13914523680832e-33	"9"	"CAMLG"
"SNRPG.1"	3.17764946525892e-37	0.273241636641184	0.271	0.132	1.04029888193647e-32	"9"	"SNRPG"
"PSMB2"	5.55522158015761e-37	0.265273447490227	0.278	0.136	1.818668440912e-32	"9"	"PSMB2"
"ILF2.1"	5.88142498218093e-37	0.270451402911422	0.305	0.154	1.92546091066639e-32	"9"	"ILF2"
"TCF25.1"	1.01153942490374e-36	0.269401831518658	0.307	0.155	3.31157776924987e-32	"9"	"TCF25"
"UXT.3"	1.72719487413878e-36	0.31260801766491	0.74	0.457	5.65449057895552e-32	"9"	"UXT"
"PDCD6.1"	2.73865820181388e-36	0.253188729565951	0.344	0.18	8.96581922109829e-32	"9"	"PDCD6"
"NBEAL1.3"	4.06988370370375e-36	-1.00695376153271	0.233	0.358	1.33239852691853e-31	"9"	"NBEAL1"
"MIF.1"	5.234044354657e-36	-0.936441544624498	0.298	0.406	1.71352144082761e-31	"9"	"MIF"
